Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
WOO-USD,WOO Network USD,0.431655,0.048062,0.1253,780.878M,46.541M,46.541M,46.541M,1.809B,,
BUSD-USD,BUSD USD,1.0005,-0.0005,-0.05%,775.494M,51.593M,51.593M,51.593M,775.136M,,
ASTR-USD,Astar USD,0.138566,0.012811,0.1019,760.109M,107.063M,107.063M,107.063M,5.486B,,
IOTA-USD,IOTA USD,0.240342,0.004662,0.0198,739.388M,21.654M,21.654M,21.654M,3.076B,,
AKT-USD,Akash Network USD,3.2211,0.2864,0.0976,723.899M,9.311M,9.311M,9.311M,224.737M,,
USDD-USD,USDD USD,0.98884,-0.00054,-0.05%,717.237M,14.898M,14.898M,14.898M,725.332M,,
CAKE-USD,PancakeSwap USD,2.9192,0.1133,0.0404,711.326M,102.967M,102.967M,102.967M,243.675M,,
GALA-USD,Gala USD,0.025774,0.001764,0.0735,707.619M,82.399M,82.399M,82.399M,27.455B,,
XEC-USD,eCash USD,0.000034,0.000002,0.0574,666.413M,61.715M,61.715M,61.715M,19.602T,,
LUNC-USD,Terra Classic USD,0.000115,-0.000007,-6.04%,667.113M,76.777M,76.777M,76.777M,5.81T,,
GALA-USD,Gala USD,0.02404,-0.001323,-5.22%,660.018M,83.979M,83.979M,83.979M,27.455B,,
CHZ-USD,Chiliz USD,0.073752,-0.000736,-0.99%,655.533M,43.112M,43.112M,43.112M,8.888B,,
FRAX-USD,Frax USD,0.997696,-0.000503,-0.05%,647.966M,23.839M,23.839M,23.839M,649.462M,,
WBNB-USD,Wrapped BNB USD,300.2,-1.04,-0.35%,644.496M,220.921M,220.921M,220.921M,2.147M,,
CFX-USD,Conflux USD,0.167786,-0.010676,-5.98%,611.905M,46.269M,46.269M,46.269M,3.647B,,
KLAY-USD,Klaytn USD,0.17366,-0.058763,-25.28%,604.433M,21.868M,21.868M,21.868M,3.481B,,
FXS-USD,Frax Share USD,7.7964,-0.1279,-1.61%,593.727M,27.23M,27.23M,27.23M,76.154M,,
VBNB-USD,Venus BNB USD,6.9978,-0.0308,-0.44%,590.101M,406.034M,406.034M,406.034M,84.327M,,
AXL17799-USD,Axelar USD,1.0949,-0.024,-2.14%,579.696M,235.86M,235.86M,235.86M,529.444M,,
RPL-USD,Rocket Pool USD,27.6,0.08,0.0031,551.747M,6.771M,6.771M,6.771M,19.991M,,
FLR-USD,Flare USD,0.017503,0.000027,0.0015,540.086M,7.669M,7.669M,7.669M,30.856B,,
CRV-USD,Curve DAO Token USD,0.504496,-0.036539,-6.75%,538.906M,52.417M,52.417M,52.417M,1.068B,,
BLUR-USD,Blur USD,0.43907,-0.004396,-0.99%,535.704M,151.288M,151.288M,151.288M,1.22B,,
CSPR-USD,Casper USD,0.045768,-0.003459,-7.03%,534.884M,11.258M,11.258M,11.258M,11.687B,,
FET-USD,Fetch.ai USD,0.638104,-0.016313,-2.49%,528.915M,87.492M,87.492M,87.492M,828.884M,,
AR-USD,Arweave USD,8.0022,-0.4258,-5.05%,523.78M,24.507M,24.507M,24.507M,65.454M,,
NEXO-USD,Nexo USD,0.936473,0.000696,0.0007,524.425M,5.178M,5.178M,5.178M,560M,,
GMT18069-USD,GMT USD,0.309711,-0.06472,-17.29%,512.544M,263.516M,263.516M,263.516M,1.655B,,
KUJI-USD,Kujira USD,4.1604,-0.1388,-3.23%,509.018M,2.414M,2.414M,2.414M,122.35M,,
XAUT-USD,Tether Gold USD,"2,027.95",-4.55,-0.22%,499.94M,5.566M,5.566M,5.566M,"246,524",,
GT-USD,GateToken USD,5.0199,0.0015,0.0003,497.717M,1.551M,1.551M,1.551M,99.149M,,
SC-USD,Siacoin USD,0.008815,-0.000761,-7.94%,495.066M,48.21M,48.21M,48.21M,56.162B,,
RON14101-USD,Ronin USD,1.6919,-0.034,-1.97%,479.924M,12.212M,12.212M,12.212M,283.657M,,
GNO-USD,Gnosis USD,184.94,-1.65,-0.89%,478.913M,11.545M,11.545M,11.545M,2.59M,,
PEPE24478-USD,Pepe USD,0.00000113,-0.00000003,-2.81%,473.357M,78.208M,78.208M,78.208M,420.69T,,
APE18876-USD,ApeCoin USD,1.2809,-0.0756,-5.57%,472.117M,59.453M,59.453M,59.453M,368.594M,,
CBETH-USD,Coinbase Wrapped Staked ETH USD,"2,398.20",-11.15,-0.46%,469.259M,7.464M,7.464M,7.464M,"195,671",,
1INCH-USD,1inch Network USD,0.409459,-0.001966,-0.48%,462.45M,63.188M,63.188M,63.188M,1.129B,,
GMX11857-USD,GMX USD,49.17,-1.35,-2.67%,459.272M,27.54M,27.54M,27.54M,9.341M,,
CORE23254-USD,Core USD,0.532885,0.006608,0.0126,458.251M,36.213M,36.213M,36.213M,859.943M,,
FTN-USD,Fasttoken USD,1.4829,0.009,0.0061,452.051M,14.259M,14.259M,14.259M,304.85M,,
HBTC-USD,Huobi BTC USD,"50,030.64",#ERROR!,0.0349,448.75M,"12,160","12,160","12,160","8,969",,
TWT-USD,Trust Wallet Token USD,1.0577,-0.0347,-3.17%,440.681M,23.444M,23.444M,23.444M,416.65M,,
NTRN26680-USD,Neutron USD,1.5714,0.2497,0.1889,437.974M,103.118M,103.118M,103.118M,278.719M,,
ETHDYDX-USD,dYdX (ethDYDX) USD,2.3719,-0.1439,-5.72%,435.87M,98.497M,98.497M,98.497M,183.766M,,
PAXG-USD,PAX Gold USD,"2,017.21",4.19,0.0021,426.98M,7.016M,7.016M,7.016M,"211,667",,
RLB-USD,Rollbit Coin USD,0.127125,-0.001816,-1.41%,419.126M,4.272M,4.272M,4.272M,3.297B,,
XRD-USD,Radix USD,0.039785,-0.000824,-2.03%,411.535M,4.401M,4.401M,4.401M,10.344B,,
LUNA20314-USD,Terra USD,0.665477,-0.027241,-3.93%,410.443M,62.582M,62.582M,62.582M,616.766M,,
NFT9816-USD,APENFT USD,0.00000041,0,0.0028,409.839M,26.129M,26.129M,26.129M,990.106T,,
ENJ-USD,Enjin Coin USD,0.290289,-0.01862,-6.03%,400.552M,23.538M,23.538M,23.538M,1.38B,,
ELF-USD,aelf USD,0.559301,0.031514,0.0597,399.523M,52.765M,52.765M,52.765M,714.325M,,
HT-USD,Huobi Token USD,2.428,-0.0205,-0.84%,393.91M,15.127M,15.127M,15.127M,162.234M,,
COMP5692-USD,Compound USD,48.23,-1.15,-2.34%,388.915M,44.142M,44.142M,44.142M,8.064M,,
ENS-USD,Ethereum Name Service USD,12.71,-0.7,-5.25%,386.638M,98.079M,98.079M,98.079M,30.416M,,
WKAVA-USD,Wrapped Kava USD,0.753744,0.015588,0.0211,375.115M,104,104,104,497.669M,,
BTG-USD,Bitcoin Gold USD,20.12,1.78,0.0969,352.332M,55.536M,55.536M,55.536M,17.514M,,
IOTX-USD,IoTeX USD,0.039435,-0.002417,-5.78%,372.321M,12.636M,12.636M,12.636M,9.441B,,
DESO-USD,Decentralized Social USD,41.83,1.88,0.047,371.638M,3.581M,3.581M,3.581M,8.885M,,
LSD28047-USD,L7 USD,9.062,-0.4153,-4.38%,371.012M,3.288M,3.288M,3.288M,40.942M,,
SKL-USD,SKALE USD,0.071985,-0.005339,-6.90%,369.59M,36.817M,36.817M,36.817M,5.134B,,
USDP-USD,Pax Dollar USD,0.999963,0.00135,0.0014,368.045M,2.716M,2.716M,2.716M,368.059M,,
PYTH-USD,Pyth Network USD,0.239086,-0.015004,-5.91%,358.626M,25.285M,25.285M,25.285M,1.5B,,
ZIL-USD,Zilliqa USD,0.020565,-0.000875,-4.08%,357.266M,24.899M,24.899M,24.899M,17.372B,,
CELO-USD,Celo USD,0.681811,-0.062102,-8.35%,357.788M,53.764M,53.764M,53.764M,524.761M,,
METIS-USD,MetisDAO USD,77.96,-8.08,-9.40%,356.566M,26.369M,26.369M,26.369M,4.574M,,
AZERO-USD,Aleph Zero USD,1.3329,-0.0634,-4.54%,355.58M,4.769M,4.769M,4.769M,266.779M,,
GAS-USD,Gas USD,5.2101,-0.1426,-2.66%,343.886M,17.672M,17.672M,17.672M,66.004M,,
BAT-USD,Basic Attention Token USD,0.227075,-0.007728,-3.29%,338.436M,41.185M,41.185M,41.185M,1.49B,,
HOT2682-USD,Holo USD,0.001932,-0.000105,-5.14%,333.741M,16.789M,16.789M,16.789M,172.748B,,
KSM-USD,Kusama USD,38.92,-1.23,-3.07%,329.698M,32.162M,32.162M,32.162M,8.47M,,
XCH-USD,Chia USD,34.45,-1.31,-3.67%,329.14M,23.022M,23.022M,23.022M,9.555M,,
AGIX-USD,SingularityNET USD,0.26057,-0.00969,-3.59%,325.686M,38.173M,38.173M,38.173M,1.25B,,
LRC-USD,Loopring USD,0.237369,-0.009496,-3.85%,324.395M,18.489M,18.489M,18.489M,1.367B,,
DASH-USD,Dash USD,26.93,-0.67,-2.44%,312.922M,36.884M,36.884M,36.884M,11.618M,,
ZEC-USD,Zcash USD,19.07,-2.03,-9.63%,311.365M,79.065M,79.065M,79.065M,16.328M,,
TRB-USD,Tellor USD,121.64,0.7,0.0058,309.513M,158.731M,158.731M,158.731M,2.544M,,
STRD-USD,Stride USD,3.5181,0.2103,0.0636,308.983M,"476,564","476,564","476,564",87.826M,,
ILV-USD,Illuvium USD,81.92,-1.34,-1.61%,308.606M,14.769M,14.769M,14.769M,3.767M,,
GLMR-USD,Moonbeam USD,0.380483,-0.016409,-4.13%,308.212M,10.282M,10.282M,10.282M,810.054M,,
QTUM-USD,Qtum USD,2.9324,-0.0744,-2.48%,307.187M,52.255M,52.255M,52.255M,104.756M,,
T-USD,Threshold USD,0.031905,-0.005153,-13.91%,304.972M,331.275M,331.275M,331.275M,9.559B,,
LYX-USD,LUKSO USD,10.03,-0.3,-2.88%,306.415M,"878,795","878,795","878,795",30.536M,,
POKT-USD,Pocket Network USD,0.198054,-0.001174,-0.59%,301.343M,2.348M,2.348M,2.348M,1.522B,,
CFG-USD,Centrifuge USD,0.641767,-0.017087,-2.59%,298.806M,1.076M,1.076M,1.076M,465.598M,,
ORBR-USD,Orbler USD,0.294193,-0.000215,-0.07%,298.779M,"257,610","257,610","257,610",1.016B,,
RAY-USD,Raydium USD,1.1691,-0.0009,-0.08%,292.969M,29.383M,29.383M,29.383M,250.594M,,
TRAC-USD,OriginTrail USD,0.727423,0.059911,0.0898,292.66M,3.955M,3.955M,3.955M,402.324M,,
XEM-USD,NEM USD,0.032154,-0.001263,-3.78%,289.389M,7.804M,7.804M,7.804M,9B,,
ETHW-USD,EthereumPoW USD,2.6645,-0.0861,-3.13%,287.288M,16.742M,16.742M,16.742M,107.819M,,
SSV-USD,ssv.network USD,28.61,-1.23,-4.14%,286.071M,42.22M,42.22M,42.22M,10M,,
SFP-USD,SafePal USD,0.678356,-0.009893,-1.44%,285.475M,5.639M,5.639M,5.639M,420.833M,,
PENDLE-USD,Pendle USD,1.1913,-0.0258,-2.12%,282.204M,24.729M,24.729M,24.729M,236.886M,,
WLD-USD,Worldcoin USD,2.5663,-0.1798,-6.55%,281.959M,86.395M,86.395M,86.395M,109.869M,,
VBIT-USD,Valobit USD,0.234241,0.047163,0.2521,281.279M,"28,619","28,619","28,619",1.201B,,
MASK8536-USD,Mask Network USD,3.4041,-0.324,-8.69%,279.52M,235.906M,235.906M,235.906M,82.112M,,
KDA-USD,Kadena USD,1.0742,0.0064,0.006,278.383M,19.91M,19.91M,19.91M,259.156M,,
PYUSD-USD,PayPal USD USD,0.999581,-0.001054,-0.11%,275.95M,18.637M,18.637M,18.637M,276.065M,,
TFUEL-USD,Theta Fuel USD,0.04306,-0.001201,-2.71%,275.984M,8.559M,8.559M,8.559M,6.409B,,
CVX-USD,Convex Finance USD,2.9595,-0.098,-3.21%,274.606M,9.094M,9.094M,9.094M,92.789M,,
MX-USD,MX TOKEN USD,2.7308,-0.0007,-0.03%,274.808M,3.248M,3.248M,3.248M,100.632M,,
FLOKI-USD,FLOKI USD,0.000029,-0.000001,-2.04%,271.377M,17.03M,17.03M,17.03M,9.511T,,
WAVES-USD,Waves USD,2.3184,-0.069,-2.89%,263.136M,61.969M,61.969M,61.969M,113.5M,,
FLEX-USD,FLEX USD,2.6563,2.2245,5.1527,262.08M,"272,920","272,920","272,920",98.665M,,
BDX-USD,Beldex USD,0.044016,-0.000565,-1.27%,260.251M,2.259M,2.259M,2.259M,5.913B,,
MOBILE-USD,Helium Mobile USD,0.003211,0.00039,0.1383,257.993M,4.801M,4.801M,4.801M,80.351B,,
ZRX-USD,0x Protocol USD,0.303422,-0.010311,-3.29%,257.149M,40.192M,40.192M,40.192M,847.496M,,
JASMY-USD,JasmyCoin USD,0.005205,-0.000161,-3.00%,256.618M,26.498M,26.498M,26.498M,49.3B,,
